APP,FLOW_TIMEOUT,ACTIVITY_TIMEOUT,CLASSIFIER,N_FEATURES,TRUE_POSITIVE,FALSE_POSITIVE,TRUE_NEGATIVE,FALSE_NEGATIVE,PRECISION,RECALL,F1,ACCURACY
dailymotion,10,2,XGB,68,965,161,21060,1115,0.8570159857904085,0.4639423076923077,0.6019962570180911,0.9452384017853311
facebook,10,2,XGB,68,446,30,21449,1376,0.9369747899159664,0.24478594950603733,0.38816362053959963,0.9396592420926141
instagram,10,2,XGB,68,1577,0,21274,450,1.0,0.7779970399605328,0.8751387347391788,0.9806875241405948
replaio_radio,10,2,XGB,68,1745,15,21479,62,0.9914772727272727,0.965688987271721,0.9784132324081861,0.9966954207973907
skype,10,2,XGB,68,3094,8415,11791,1,0.2688330871491876,0.9996768982229403,0.42371952889619285,0.6388137848161023
spotify,10,2,XGB,68,1437,1,18399,3464,0.9993045897079277,0.2932054682717813,0.4533838144817795,0.8512939358825802
torbrowser_alpha,10,2,XGB,68,799,1306,20653,543,0.37957244655581945,0.5953800298062594,0.46359152886568034,0.9206471825243552
twitch,10,2,XGB,68,815,6,21619,861,0.9926918392204629,0.4862768496420048,0.6527833400080096,0.9627912965108794
utorrent,10,2,XGB,68,1141,382,20799,979,0.7491792514773473,0.5382075471698113,0.6264068075761735,0.9415904896785545
youtube,10,2,XGB,68,965,1,20869,1466,0.9989648033126294,0.3969559851912793,0.5681483662054754,0.9370413286983391
